degree_hit,degree_rank,edge_u,edge_v,field_guided_hit,field_guided_rank,field_mean_hit,field_mean_rank,hybrid_norm@0.5_hit,hybrid_norm@0.5_rank,hybrid_norm@2.0_hit,hybrid_norm@2.0_rank,llm_prior_hit,llm_prior_rank,on_named_path,placeholder_target,random_hit,random_rank
0,10,0,2,0,9,1,0,1,0,0,10,0,8,1,0,1,2
0,10,0,3,1,0,1,0,1,0,0,10,0,3,1,0,0,3
0,9,0,4,0,8,1,1,1,1,0,8,1,0,1,0,0,9
0,10,0,5,0,9,1,1,1,1,0,10,0,7,1,0,1,2
0,10,0,6,0,9,1,2,1,2,0,9,0,8,1,0,0,4
0,10,0,8,0,5,1,0,1,0,0,10,0,10,1,0,0,10
0,10,0,10,0,6,1,1,0,9,0,9,0,9,1,1,0,10
0,10,0,11,1,1,1,1,0,8,0,7,0,8,1,1,1,0
0,10,0,12,1,1,1,1,0,10,0,9,0,10,1,1,0,4
1,0,2,1,0,4,1,0,1,0,0,10,0,9,1,0,0,8
0,10,2,13,0,7,0,3,0,9,0,7,0,9,0,1,1,1
0,10,2,22,0,9,0,4,1,1,1,0,1,0,0,1,1,2
0,10,2,31,0,7,0,6,1,1,1,0,1,0,0,1,0,8
0,10,2,40,0,10,0,8,1,1,1,0,1,0,0,1,1,1
1,0,3,1,0,6,1,0,1,0,0,9,0,3,1,0,0,7
0,10,3,14,1,2,1,2,0,3,1,1,1,2,0,1,0,9
0,9,3,23,1,0,0,7,0,5,1,2,0,3,0,1,0,5
0,10,3,32,0,4,0,8,0,5,1,1,0,3,0,1,0,4
0,10,3,41,0,8,0,10,0,5,0,4,0,4,0,1,1,2
1,0,4,1,0,5,1,0,1,0,0,10,0,4,1,0,1,0
0,10,4,15,1,1,0,5,0,7,0,4,0,7,0,1,0,8
0,9,4,24,0,8,0,4,0,8,0,7,0,8,0,1,0,4
0,10,4,33,1,1,0,8,0,10,0,10,0,10,0,1,0,5
0,10,4,42,1,1,0,9,0,7,0,4,0,6,0,1,1,0
1,0,5,1,0,5,1,0,1,0,0,10,0,6,1,0,1,2
0,10,5,16,0,3,0,3,0,4,1,2,0,3,0,1,0,5
0,8,5,25,0,3,0,5,0,8,0,3,0,5,0,1,0,8
0,9,5,34,1,1,0,6,0,5,0,3,0,5,0,1,0,3
0,9,5,43,0,5,0,8,0,4,1,1,1,1,0,1,0,6
0,10,6,7,0,3,1,1,1,0,1,0,1,0,1,0,1,0
0,10,6,17,1,1,0,7,0,10,0,6,0,9,0,1,1,1
0,10,6,26,0,7,0,7,0,7,0,4,0,6,0,1,0,3
0,9,6,35,0,9,0,8,0,5,1,2,0,3,0,1,1,0
0,10,6,44,1,2,0,10,0,3,1,1,1,1,0,1,0,9
1,0,7,1,0,10,1,0,1,0,0,10,0,8,1,0,0,9
0,10,8,9,0,3,1,0,1,0,1,0,1,0,1,0,1,2
0,10,8,18,1,0,1,2,0,6,0,5,0,5,0,1,1,2
0,10,8,27,1,1,0,6,0,10,0,9,0,10,0,1,1,0
0,9,8,36,0,8,0,9,0,6,0,3,0,3,0,1,0,4
1,0,9,1,0,8,1,0,1,0,0,10,1,2,1,0,0,9
0,10,10,19,0,8,0,4,0,9,0,6,0,8,0,1,0,7
0,9,10,28,1,2,0,4,0,8,0,7,0,8,0,1,0,9
0,9,10,37,1,0,0,6,0,6,0,4,0,6,0,1,0,5
0,10,11,20,0,5,0,6,0,4,1,2,1,2,0,1,0,9
0,10,11,29,0,7,0,8,0,5,1,2,0,3,0,1,0,10
0,10,11,38,0,3,0,8,0,6,0,5,0,6,0,1,0,6
0,10,12,21,1,1,0,6,0,3,1,1,1,1,0,1,0,6
0,9,12,30,0,6,0,5,0,10,0,8,0,10,0,1,0,4
0,9,12,39,0,7,0,7,0,9,0,7,0,7,0,1,0,4
