graph_id,family,N,n_edges,density,hub_concentration,real_semantics,field_named,random_named,degree_named,diff_fm_rand,diff_fm_deg,prior_named,field_beats_random
L_algorithm_process,L,38,48,0.03414,0.0833,1,0.10344827586206896,0.034482758620689655,0.0,0.069,0.1034,0.6896551724137931,1
L_biological_taxonomy,L,42,41,0.02381,0.0244,1,0.13636363636363635,0.13636363636363635,0.0,0.0,0.1364,1.0,0
L_historical_causality,L,36,55,0.04365,0.1818,1,0.043478260869565216,0.08695652173913043,0.043478260869565216,-0.0435,0.0,0.782608695652174,0
L_physics_concepts,L,35,39,0.03277,0.0769,1,0.0967741935483871,0.12903225806451613,0.0967741935483871,-0.0323,0.0,0.4838709677419355,0
S1,S,20,19,0.05,0.0526,0,0.15789473684210525,0.0,0.0,0.1579,0.1579,,1
S1_n35,S,35,34,0.02857,0.0294,0,0.08823529411764706,0.058823529411764705,0.0,0.0294,0.0882,,1
S1_n45,S,45,44,0.02222,0.0227,0,0.06818181818181818,0.045454545454545456,0.0,0.0227,0.0682,,1
S1_n60,S,60,59,0.01667,0.0169,0,0.05084745762711865,0.05084745762711865,0.0,0.0,0.0508,,0
S2,S,31,30,0.03226,0.0333,0,0.14285714285714285,0.0,0.0,0.1429,0.1429,,1
S2_n20,S,20,19,0.05,0.0526,0,0.2222222222222222,0.1111111111111111,0.0,0.1111,0.2222,,1
S2_n35,S,35,34,0.02857,0.0294,0,0.125,0.0625,0.0,0.0625,0.125,,1
S2_n45,S,45,44,0.02222,0.0227,0,0.09523809523809523,0.19047619047619047,0.0,-0.0952,0.0952,,0
S2_n60,S,60,59,0.01667,0.0169,0,0.06896551724137931,0.034482758620689655,0.0,0.0345,0.069,,1
S3,S,30,32,0.03678,0.0625,0,0.19047619047619047,0.09523809523809523,0.047619047619047616,0.0952,0.1429,,1
S4,S,40,88,0.05641,0.0682,0,0.1206896551724138,0.05172413793103448,0.017241379310344827,0.069,0.1034,,1
S5,S,45,49,0.02475,0.0612,0,0.14285714285714285,0.0,0.0,0.1429,0.1429,,1
S6,S,45,49,0.02475,0.1224,0,0.47058823529411764,0.23529411764705882,0.35294117647058826,0.2353,0.1176,,1
S6_n20,S,20,24,0.06316,0.25,0,0.47058823529411764,0.058823529411764705,0.35294117647058826,0.4118,0.1176,,1
S6_n35,S,35,39,0.03277,0.1538,0,0.47058823529411764,0.058823529411764705,0.35294117647058826,0.4118,0.1176,,1
S6_n60,S,60,64,0.01808,0.0938,0,0.47058823529411764,0.0,0.35294117647058826,0.4706,0.1176,,1
