title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Analysis of best response dynamics in potential games,S Durand,2018,10,"… one of the earliest and most naive ones: the best response dynamics. We will describe potential games, Nash equilibrium and the best response dynamics more precisely in Chapter 2. …",tZIVNa5hhSUJ,S Durand - 2018 - theses.hal.science,['https://theses.hal.science/tel-02953991/document'],https://theses.hal.science/tel-02953991/,unknown,unknown
Strategic Differentiation in Non-Cooperative Games on Networks,"A Govaert, M Cao",2019,1,… finite-time convergence of differentiated myopic best response … In Section IV myopic best response dynamics in games with … of potential games to strategically differentiated games. …,tn1rG4cGIaUJ,"A Govaert, M Cao - 2019 18th European Control Conference …, 2019 - ieeexplore.ieee.org",['https://research.rug.nl/files/109250252/08795771.pdf'],https://ieeexplore.ieee.org/abstract/document/8795771/,unknown,unknown
Fast convergence to nearly optimal solutions in potential games,"B Awerbuch, Y Azar, A Epstein, VS Mirrokni…",2008,152,"… of congestion games, which are used to model routing, network … We also consider other potential games. In a congestion game … convergence of αNash best-response dynamics in these …",7yNJGLlETVEJ,"B Awerbuch, Y Azar, A Epstein, VS Mirrokni… - Proceedings of the 9th …, 2008 - dl.acm.org",['https://dl.acm.org/doi/pdf/10.1145/1386790.1386832'],https://dl.acm.org/doi/abs/10.1145/1386790.1386832,unknown,unknown
Asymmetric Network Games: -Potential Function and Learning,"K Rokade, A Jain, F Parise, V Krishnamurthy…",2025,1,… static network games using the framework of α-potential games. Under … versions of the sequential best-response algorithm and the … for convergence of (exact) best-response dynamics in …,o1uDH8yZAm4J,"K Rokade, A Jain, F Parise, V Krishnamurthy… - arXiv preprint arXiv …, 2025 - arxiv.org",['https://arxiv.org/pdf/2508.06619'],https://arxiv.org/abs/2508.06619,unknown,unknown
Self-triggered best-response dynamics for continuous games,"A Cortés, S Martínez",2014,65,"… the best response dynamics is defined for a continuous-action-space potential game, convergence … with bilinear payoff functions and potential games with continuously differentiable po…",zt5P8Zu9T4cJ,"A Cortés, S Martínez - IEEE Transactions on Automatic Control, 2014 - ieeexplore.ieee.org",['http://muro.ucsd.edu/sonia/papers/data/2013_AIC-SM.pdf'],https://ieeexplore.ieee.org/abstract/document/6868232/,unknown,unknown
Control in Linear Best-Response Games on Networks: A Review of Models and Methods,IV Petrov,2026,0,"… The concept of potential games was pioneered in [74]. The main idea … , best-response dynamics can cycle. Two classes of directed networks for which best-response dynamics converge …",YGCiKqgCwasJ,"IV Petrov - AUTOMATION AND REMOTE CONTROL, 2026 - ait.mtas.ru",['http://ait.mtas.ru/en/archive/volume87issue6/ARC06-006Petrov.pdf'],http://ait.mtas.ru/en/archive/volume87issue6/ARC06-006Petrov.pdf,unknown,unknown
Promotion of cooperation on networks? The myopic best response case,"CP Roca, JA Cuesta, A Sánchez",2009,79,… We will then proceed in Section 4 to present our simulation results on best response dynamics on different types of networks and to subsequently discuss in detail the behavior …,gACLLn2YbaQJ,"CP Roca, JA Cuesta, A Sánchez - The European Physical Journal B, 2009 - Springer",['https://link.springer.com/content/pdf/10.1140/epjb/e2009-00189-0.pdf'],https://link.springer.com/article/10.1140/epjb/e2009-00189-0,unknown,unknown
Distributed inertial best-response dynamics,"B Swenson, C Eksin, S Kar…",2018,45,"… FP with inertia can be shown to converge to pure NE in weakly acyclic games satisfying Assumption 4, which includes almost all potential games. Examples of interest include any …",EizBs3ejMuEJ,"B Swenson, C Eksin, S Kar… - IEEE Transactions on …, 2018 - ieeexplore.ieee.org",['https://arxiv.org/pdf/1605.00601'],https://ieeexplore.ieee.org/abstract/document/8319459/,unknown,unknown
Quality of non-convergent best response processes in multi-agent systems through sink equilibria,"R Konda, R Chandan…",2023,3,"… potential games [6] and variants [7], best response processes are indeed guaranteed to converge … Under the best response dynamics, observe that the set {(e2,f2), (e3,f2), (e2,f3), (e3,f3)…",ndY4WOetpZgJ,"R Konda, R Chandan… - 2023 62nd IEEE …, 2023 - ieeexplore.ieee.org",['https://arxiv.org/pdf/2405.20426'],https://ieeexplore.ieee.org/abstract/document/10383372/,unknown,unknown
Best-response in pure public good games on networks,"S Bervoets, M Faure",2016,3,,_v9Pj9Es_VQJ,"S Bervoets, M Faure - Preprint, 2016",[],,unknown,unknown
