title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Learning in congestion games with bandit feedback,"Q Cui, Z Xiong, M Fazel, S Du",2022,32,"… It is well-known that all congestion games are potential games, and each potential game has an equivalent congestion game formulation [Monderer and Shapley…",lFoIhl98-rgJ,"Q Cui, Z Xiong, M Fazel, S Du - Advances in Neural …, 2022 - proceedings.neurips.cc",['https://proceedings.neurips.cc/paper_files/paper/2022/file/47561f5e1dc53c7d119185e217b523d0-Paper-Conference.pdf'],https://proceedings.neurips.cc/paper_files/paper/2022/hash/47561f5e1dc53c7d119185e217b523d0-Abstract-Conference.html,unknown,unknown
"Second-Order Potentials for Finite Games: Existence, Characterisation, and Game Decomposition",RP Gilles,2026,0,"… On the class of exact potential games it recovers the potential up … extends the MS-potential to the class of all finite games. The … On the other hand, Monderer and Shapley — hereafter MS …",i7a15kRhsmUJ,"RP Gilles - arXiv preprint arXiv:2608.01967, 2026 - arxiv.org",['https://arxiv.org/pdf/2608.01967'],https://arxiv.org/abs/2608.01967,unknown,unknown
Representation of finite games as network congestion games,I Milchtaich,2013,15,"… , only congestion games are exact potential games. More … One of this paper’s findings strengths Monderer and Shapley’… However, Monderer’s definition of network congestion game is …",_-W3eTtuDHsJ,"I Milchtaich - International Journal of Game Theory, 2013 - Springer",['https://inria.hal.science/hal-00644369/file/12-PID2137393.pdf'],https://link.springer.com/article/10.1007/s00182-012-0363-5,unknown,unknown
Algorithmic aspects of congestion games,P Spirakis,2004,2,… congestion game with resource delays equal to the congestions may not have an exact potential… For any weighted L-layered network congestion game with resource delays equal to …,xjJBky2TDrAJ,"P Spirakis - Invited talk at the 11th Colloquium on Structural …, 2004 - sirocco.informatika.sk",['http://sirocco.informatika.sk/2004/Spirakis.pdf'],http://sirocco.informatika.sk/2004/Spirakis.pdf,unknown,unknown
Joint strategy fictitious play with inertia for potential games,"JR Marden, G Arslan…",2009,407,"… congestion games as a special case [6]. Our motivating example for a large-scale congestion game … class of distributed learning processes can be exponential in the game size as well, …",cNQZdVh7f5kJ,"JR Marden, G Arslan… - IEEE Transactions on …, 2009 - ieeexplore.ieee.org",['https://www.researchgate.net/profile/Jason-Marden/publication/224627819_Joint_Strategy_Fictitious_Play_with_Inertia_for_Potential_Games/links/00b4952c4f36451048000000/Joint-Strategy-Fictitious-Play-with-Inertia-for-Potential-Games.pdf'],https://ieeexplore.ieee.org/abstract/document/4782013/,unknown,unknown
Provably learning Nash policies in constrained Markov potential games,"P Alatur, G Ramponi, N He, A Krause",2023,17,"… In this work, we introduce the framework of Constrained Markov Potential Games (CMPGs) … Figure 5: Congestion game experiment: The choice of parameters and constraint function is …",pGe_iJ5Co0oJ,"P Alatur, G Ramponi, N He, A Krause - arXiv preprint arXiv:2306.07749, 2023 - arxiv.org",['https://arxiv.org/pdf/2306.07749'],https://arxiv.org/abs/2306.07749,unknown,unknown
Characterizing the convergence of game dynamics via potentialness,"M Bichler, D Legacci, P Mertikopoulos…",2025,5,"… Remarkably, the class of congestion games is equivalent to that of potential games (… in the study of learning in games. While it is well established that exact potential games guarantee …",ow4vdUX8YXsJ,"M Bichler, D Legacci, P Mertikopoulos… - arXiv preprint arXiv …, 2025 - arxiv.org",['https://arxiv.org/pdf/2503.16285'],https://arxiv.org/abs/2503.16285,unknown,unknown
"Independent policy gradient for large-scale Markov potential games: Sharper rates, function approximation, and game-agnostic convergence","D Ding, CY Wei, K Zhang…",2022,128,"… In the framework of stochastic games (Shapley… To demonstrate the merits and the effectiveness of our approach, we examine an MDP in which every state defines a congestion game. …",UnslwjhgDogJ,"D Ding, CY Wei, K Zhang… - … on Machine Learning, 2022 - proceedings.mlr.press",['https://proceedings.mlr.press/v162/ding22b/ding22b.pdf'],https://proceedings.mlr.press/v162/ding22b,unknown,unknown
Global convergence of multi-agent policy gradient in markov potential games,"S Leonardos, W Overman, I Panageas…",2021,216,"… Experimental setup: We consider a MDP in which every state is a congestion game (cf. [4]). In the … When it comes to online learning in normal form potential games, it is sometimes …",DkGzB6Yo-lgJ,"S Leonardos, W Overman, I Panageas… - arXiv preprint arXiv …, 2021 - arxiv.org",['https://arxiv.org/pdf/2106.01969'],https://arxiv.org/abs/2106.01969,unknown,unknown
The demand-side management and control of smart grids based on weighted network congestion games,"J Wang, M Liu, H Wu",2024,30,"… of resource allocation, which were firstly introduced by Rosenthal and Shapley [9]… congestion game is isomorphic to a potential game. Similar to potential games, any congestion game …",dt2RNXFuXZ8J,"J Wang, M Liu, H Wu - IEEE Transactions on Automation …, 2024 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/10384363/,unknown,unknown
