title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Fault tolerant control of centralized potential games,"S Lu, H Yang, B Jiang",2020,1,"… Therefore, in the real life, the stochastic stable strategy is the … a new log-linear learning for the non-potential game GF as … consider a potential game with the potential maximizer after …",XMG5fE1m1BYJ,"S Lu, H Yang, B Jiang - 2020 39th Chinese Control Conference …, 2020 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/9188361/,unknown,unknown
Log-Linear Learning for Coordination with Heterogeneous Bounded Rationalities,"FHO Rajab, OM Anubi…",2026,0,"… game in which the players exhibit heterogeneous levels of bounded rationality. We analyze the log-linear learning … (0, 0) yield the same potential value, and are maximizers. Due to the …",LYADw2PqBWoJ,"FHO Rajab, OM Anubi… - 2026 American Control …, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11615922/,unknown,unknown
A hybrid seeking approach for robust learning in multi-agent systems,"JI Poveda, AR Teel",2014,5,"… to a classic maximizer of a global potential function or a Nash equilibrium in a Lyapunov game. … Shamma, “Revisiting log-linear learning: Asynchrony, completeness and payoff-based …",-2GDWFmoQicJ,"JI Poveda, AR Teel - 53rd IEEE Conference on Decision and …, 2014 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/7039926/,unknown,unknown
A bayesian potential-based architecture for mutually beneficial EV charging infrastructure-DSO coordination,"M Zhai, O Abu-Znad, S Wang…",2025,6,"… as an exact potential game in [26], which is solved by binary log-linear learning to explicitly … BNE that is aligned with the global maximizer of the Bayesian potential (ie, selection of NE). …",mVJCJCoDQ-wJ,"M Zhai, O Abu-Znad, S Wang… - IEEE Transactions on …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11024043/,unknown,unknown
"Modern Game Theory: Foundations, Strategic Learning, and Endogenous Games",MN i Alonso,2026,0,"… invading population, while stochastic stability asks which recurrent … log-linear learning in a finite exact potential game. At each … on the global maximizers of the potential. These states are …",pl6XA3Iupw8J,MN i Alonso - 2026 - researchgate.net,['https://www.researchgate.net/profile/Miquel-Alonso/publication/411129979_Modern_Game_Theory_Foundations_Strategic_Learning_and_Endogenous_Games/links/6a6fbff3b0f5ac1f8eca62cc/Modern-Game-Theory-Foundations-Strategic-Learning-and-Endogenous-Games.pdf'],https://www.researchgate.net/profile/Miquel-Alonso/publication/411129979_Modern_Game_Theory_Foundations_Strategic_Learning_and_Endogenous_Games/links/6a6fbff3b0f5ac1f8eca62cc/Modern-Game-Theory-Foundations-Strategic-Learning-and-Endogenous-Games.pdf,unknown,unknown
Game theoretic receding horizon cooperative network formation for distributed microgrids: Variability reduction of photovoltaics,"Y Wasa, T Hatanaka, M Fujita…",2013,9,… to the potential function maximizers. (iii) [7] addresses adaptation of network formation to environmental changes by applying the payoff-based learning [… : Revisiting log-linear learning: …,O0lknDeK748J,"Y Wasa, T Hatanaka, M Fujita… - SICE Journal of Control …, 2013 - Taylor & Francis",['https://www.tandfonline.com/doi/pdf/10.9746/jcmsi.6.281'],https://www.tandfonline.com/doi/abs/10.9746/jcmsi.6.281,unknown,unknown
"Unregularized Convergence of Single-Loop, Entropy-Regularized Natural Actor-Critic",Z Tan,2026,0,"… ) algorithm under a log-linear policy parameterization and a … , our critic tracking can remain stable even when the Fisher … We employ a log-linear softmax policy parameterized by ω …",iYfaePWHbcUJ,"Z Tan - arXiv preprint arXiv:2608.19587, 2026 - arxiv.org",['https://arxiv.org/pdf/2608.19587'],https://arxiv.org/abs/2608.19587,unknown,unknown
"Distributed Team Orchestration via Supervisor Networks: Convergence, Optimality, and Resilience","J Zhu, G Chen, T Zhu, M de Carvalho, Z Yang…",2026,0,"… Abstract—In this paper, we study zero-sum potential team games with a supervisor network, … The maximizer is unique because f is linear and, for τ > 0, the entropy regularization term …",ZOgsRTmZ0_wJ,"J Zhu, G Chen, T Zhu, M de Carvalho, Z Yang… - arXiv preprint arXiv …, 2026 - arxiv.org",['https://arxiv.org/pdf/2608.09256'],https://arxiv.org/abs/2608.09256,unknown,unknown
Networked Game-Theoretical Learning in Autonomous Systems,S Aydin,2023,0,"… Furthermore, every maximizer of the potential function is a NE of the potential … , fictitious play (FP) and log-linear learning, converge to an approximate-Nash Equilibrium (NE) [11]. …",Uz41-UtWeVMJ,S Aydin - 2023 - oaktrust.library.tamu.edu,['https://oaktrust.library.tamu.edu/bitstreams/c2ebaca4-3134-468f-a55a-f8026716c189/download'],https://oaktrust.library.tamu.edu/items/5ef4f8a8-849d-4062-85aa-337590d891a1,unknown,unknown
Game theoretic cooperative control of PTZ visual sensor networks for environmental change monitoring,"T Hatanaka, Y Wasa, M Fujita",2013,9,"… learning algorithm to coverage control is already presented in [6], the algorithm in [6] does not ensure the eventual selection of the potential function maximizers. In … log-linear learning : …",3yG9RIv8y9UJ,"T Hatanaka, Y Wasa, M Fujita - 52nd IEEE Conference on …, 2013 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/6761101/,unknown,unknown
