title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Fraud learns too: continual graph learning under strategic adversarial drift in dynamic networks,"H Fan, Y Jiao, M Wang, J Chen, S Yang",2026,0,"… Stackelberg games, which capture a leader and follower … the Game Theoretic Anticipatory Continual Graph Learning … model-based link prediction on continuous-time dynamic graphs. In …",M_sXFepTUgUJ,"H Fan, Y Jiao, M Wang, J Chen, S Yang - Scientific Reports, 2026 - nature.com",['https://www.nature.com/articles/s41598-026-60997-7_reference.pdf'],https://www.nature.com/articles/s41598-026-60997-7,unknown,unknown
Resource-Aware Intrusion Detection in Infrastructure Networks: A Game-Theoretic Approach,"X Lin, Z Zhang, Z Zhang, KS Chan, G Xue",2026,0,"… games allocate limited defensive resources across targets or constrained schedules [6–8]. Graph security games … [9–16], whereas adversarial network design modifies or protects the …",Ayj-X-yHjt8J,"X Lin, Z Zhang, Z Zhang, KS Chan, G Xue - arXiv preprint arXiv …, 2026 - arxiv.org",['https://arxiv.org/pdf/2608.06655'],https://arxiv.org/abs/2608.06655,unknown,unknown
A node representation learning approach for link prediction in social networks using game theory and K-core decomposition,"E Nasiri, A Bouyer, E Nourani",2019,18,"… develop a game-theoretic sampling strategy for model … In the second phase, considering each node in the graph as a root, … First we introduce these games and then we will explain how …",7vWCk5QlXAwJ,"E Nasiri, A Bouyer, E Nourani - The European Physical Journal B, 2019 - Springer",['https://link.springer.com/content/pdf/10.1140/epjb/e2019-100225-8.pdf'],https://link.springer.com/article/10.1140/epjb/e2019-100225-8,unknown,unknown
Nonrational Game-Theoretic Opinion Dynamics for Privacy-Preserving Distributed Consensus in Multiagent Systems,"Y Liu, C Yu, Z Zheng, W Li…",2026,0,"… , graph neural networks (GNNs), deep reinforcement learning (DRL), and federated learning (FL) within a nonrational game-theoretic … against adversarial attacks through regularization. …",p9br1KLhIToJ,"Y Liu, C Yu, Z Zheng, W Li… - IEEE Transactions on …, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11626313/,unknown,unknown
Asymmetric partially observable Markov decision process (POMDP)-based stochastic games for modeling stealthy APT propagation in heterogeneous 6G-enabled …,J Njoku,2026,0,"… for modeling such adversarial interactions under uncertainty, … [26] utilized general-sum Markov games over attack graphs … is to validate the game-theoretic formulation itself, specifically, …",7oYGS1TcEm4J,"J Njoku - Journal of Computer Virology and Hacking Techniques, 2026 - Springer",[],https://link.springer.com/article/10.1007/s11416-026-00638-9,unknown,unknown
A Game-Theoretic Framework for Strategic Machine Unlearning in Backdoor Mitigation,"X Ding, W Liu",2026,0,"… While gametheoretic approaches have been explored in adversarial ML, to our knowledge … ,36], and zero-sum games for adversarial example generation [37,38]. In backdoor defense, …",gM2OKcTBjjkJ,"X Ding, W Liu - Computers, Materials & Continua, 2026 - sciopen.com",['https://www.sciopen.com/local/article_pdf/10.32604/cmc.2025.072458.pdf'],https://www.sciopen.com/article/10.32604/cmc.2025.072458,unknown,unknown
AG-GANs: A Game-Theoretic Framework for Mitigating Membership Inference Attacks in AI-Powered Consumer Electronics,"S Ullah, M Rizwan, A Anjum…",2026,0,"… , location data, and daily activities. Consequently, the inclusion … the Adversarial Denoising with Generative Adversarial … with our approach reaching the most efficient point on the curve. …",VGEvxpwbLZQJ,"S Ullah, M Rizwan, A Anjum… - IEEE Transactions on …, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11643406/,unknown,unknown
Strategic Honeypot Allocation in Dynamic Networks: A Game-Theoretic Approach for Enhanced Cybersecurity,"MA Sayed, A Hemida, C Kiekintveld, C Kamhoua",2024,1,… games on attack graphs to model lateral movement attacks and characterize game-theoretic … be controlled by the adversary for the node itself to come under adversary control. On the …,v5TZ1zPaSbkJ,"MA Sayed, A Hemida, C Kiekintveld, C Kamhoua - 2024 - assets-eu.researchsquare.com",['https://assets-eu.researchsquare.com/files/rs-3960163/v1_covered_5b739042-0562-4c7a-bff9-3e6cfc7a343a.pdf'],https://assets-eu.researchsquare.com/files/rs-3960163/v1_covered_5b739042-0562-4c7a-bff9-3e6cfc7a343a.pdf,unknown,unknown
Game-theoretic cost-sensitive adversarial training for robust cloud intrusion detection against GAN-based evasion attacks,"J Ding, Z Shen, W Liu",2026,38,"… GT-CSAT (Game-Theoretic Cost-Sensitive Adversarial Training), … minimax adversarial training loop governed by a game-theoretic … GT-CSAT at α = 0.5 sits near the knee of this curve, ac…",7pTLPwTZyLEJ,"J Ding, Z Shen, W Liu - Applied Sciences, 2026 - mdpi.com",[],https://www.mdpi.com/2076-3417/16/8/3944,unknown,unknown
Graph attention-based distributed game-theoretic framework for elastic collaborative predictive maintenance in communication-constrained production line clusters,"Q Fei, W Zhang, J Liu",2026,0,"… Results prove that distributed game-theoretic coordination can approximate … blue curve represents the basic prediction error, and the red dashed line represents the adaptive prediction …",KOzkPapk8woJ,"Q Fei, W Zhang, J Liu - Engineering Research Express, 2026 - iopscience.iop.org",[],https://iopscience.iop.org/article/10.1088/2631-8695/ae67d6/meta,unknown,unknown
