title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Maximizing User Engagement in Social Networks: A Game-Theoretic Approach to Network Participation and Resource Sharing,"A Luqman, H Jaleel",2024,0,… a game-theoretic framework to model and optimize user engagement in cooperative activities over social networks. … We will use Nash equilibrium and stochastic stability as our solution …,VzZoObPI308J,"A Luqman, H Jaleel - arXiv preprint arXiv:2410.19966, 2024 - arxiv.org",['https://arxiv.org/pdf/2410.19966'],https://arxiv.org/abs/2410.19966,unknown,unknown
A game-theoretic approach for modeling competitive diffusion over social networks,"S Jafari, H Navidi",2018,42,"… The proposed game is solved and the Nash equilibrium is determined for a real data set. Lastly, the numerical results obtained from the proposed model were compared with some well-…",wB0_aPaqw5IJ,"S Jafari, H Navidi - Games, 2018 - mdpi.com",[],https://www.mdpi.com/2073-4336/9/1/8,unknown,unknown
"Rumor Transmission in Online Social Networks Under Nash Equilibrium of a Psychological Decision Game: Liu, Wang and Ouyang","W Liu, J Wang, Y Ouyang",2022,14,"… Efforts have also been made to address the psychological factors influencing rumor transmission in OSNs, mainly via the use of game theory that captures the decision-making process …",pP7UBmy4W7MJ,"W Liu, J Wang, Y Ouyang - Networks and spatial economics, 2022 - Springer",['https://pmc.ncbi.nlm.nih.gov/articles/PMC9245889/pdf/11067_2022_Article_9574.pdf'],https://link.springer.com/article/10.1007/s11067-022-09574-9,unknown,unknown
Local nash equilibrium in social networks,"Y Zhang, MA Aziz-Alaoui, C Bertelle, J Guan",2014,14,"… proposed in this paper is an extension of the Nash equilibrium in the classical game theory, shown in Fig. 7(a). Briefly, if both two connected individuals can not gain more payoff by …",HvOreKCGijsJ,"Y Zhang, MA Aziz-Alaoui, C Bertelle, J Guan - Scientific reports, 2014 - nature.com",['https://www.nature.com/articles/srep06224.pdf'],https://www.nature.com/articles/srep06224,unknown,unknown
A game-theoretic framework to identify overlapping communities in social networks,"W Chen, Z Liu, X Sun, Y Wang",2010,255,"… For the existence of Nash equilibria, we show that in general Nash equilibria may not exist, … than computing a Nash equilibrium of a game, we focus on finding local equilibria (Alós-…",kGf7S9cKUPUJ,"W Chen, Z Liu, X Sun, Y Wang - Data Mining and Knowledge Discovery, 2010 - Springer",['https://www.microsoft.com/en-us/research/wp-content/uploads/2016/02/weic-dmkd10_overlappingcommunity.pdf'],https://link.springer.com/article/10.1007/s10618-010-0186-6,unknown,unknown
Incorporating game theory and nash equilibrium concepts to predict social network community behaviors,"F Zhan, G Laines, S Deniz, S Paliskara…",2017,5,"… As the number of users on social media platforms increases, a problem of great … of game theory and Nash Equilibrium to solve this problem. We create a game that has two social media …",WXUVqT-dzIcJ,"F Zhan, G Laines, S Deniz, S Paliskara… - University of Nevada …, 2017 - academia.edu",['https://www.academia.edu/download/90878507/4.pdf'],https://www.academia.edu/download/90878507/4.pdf,unknown,unknown
Game-theoretic strategies and equilibriums in multimedia fingerprinting social networks,"WS Lin, HV Zhao, KJR Liu",2010,22,… A multimedia social network is a social network in which a … The incentive for people to join a multimedia social network is to gain … The utility of joining a multimedia social network can be …,zBfNl0UgU4sJ,"WS Lin, HV Zhao, KJR Liu - IEEE Transactions on Multimedia, 2010 - ieeexplore.ieee.org",['http://sig.umd.edu/publications/Lin_TMM_201104.pdf'],https://ieeexplore.ieee.org/abstract/document/5676224/,unknown,unknown
Stackelberg equilibrium of opinion dynamics game in social network with two influence nodes,Z Mengke,2019,21,"… game considered in this paper was proposed in (Sedakov and Zhen, 2019). We start with the treatment of an opinion dynamics game in a social network … in feedback Nash equilibrium …",42CDmlCnXMQJ,"Z Mengke - Contributions to game theory and management, 2019 - cyberleninka.ru",[],https://cyberleninka.ru/article/n/stackelberg-equilibrium-of-opinion-dynamics-game-in-social-network-with-two-influence-nodes,unknown,unknown
Current applications of game theory in construction engineering and management research: A social network analysis approach,"R Eissa, MS Eid, E Elbeltagi",2021,104,… of game theoretic solution used in each publication. The authors performed a Social Network Analysis (SNA) of the current gametheoretic … Nash equilibrium can be used to predict what …,p_betDZjI_QJ,"R Eissa, MS Eid, E Elbeltagi - Journal of construction engineering …, 2021 - ascelibrary.org",[],https://ascelibrary.org/doi/full/10.1061/(ASCE)CO.1943-7862.0002085,unknown,unknown
Influence decision models: From cooperative game theory to social network analysis,"X Molinero, F Riquelme",2021,60,"… games, the computation of satisfaction and power in collective decision-making models, and the definition of new centrality measures used for social network … games to social networks. …",4B26CvoyWLUJ,"X Molinero, F Riquelme - Computer Science Review, 2021 - Elsevier",['https://upcommons.upc.edu/bitstreams/ee1a258f-04d4-475f-8bbd-209ccb44b640/download'],https://www.sciencedirect.com/science/article/pii/S1574013720304433,unknown,unknown
