title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Time-aware gradient attack on dynamic network link prediction,"J Chen, J Zhang, Z Chen, M Du…",2021.0,76,"… G€unnemann, “Adversarial attacks on neural networks for graph data,” in Proc 24th ACM … G€unnemann, “Adversarial attacks on graph neural networks: Perturbations and their patterns,” …",TQUgQcyPKGkJ,"J Chen, J Zhang, Z Chen, M Du… - IEEE Transactions on …, 2021 - ieeexplore.ieee.org",['https://arxiv.org/pdf/1911.10561'],https://ieeexplore.ieee.org/abstract/document/9531428/,unknown,unknown
Adversarial attacks on graph neural network: Techniques and countermeasures,"N Kumar, H Verma, YK Sharma",2023.0,13,"… link prediction attacks, the adversary tries to predict the existence of a link between two nodes in the graph… In conclusion, adversarial attacks on graph neural networks (GNNs) are a …",nvJU4hwRrUMJ,"N Kumar, H Verma, YK Sharma - … of Graph Neural Networks, 2023 - igi-global.com",[],https://www.igi-global.com/chapter/adversarial-attacks-on-graph-neural-network/323822,unknown,unknown
Weighted Meta-Learning for Stealthy Poisoning Attacks on Graph Link Prediction,"M Li, D Zhuang, K Chen, D Samaraweera…",,0,… Link prediction via Graph Neural Networks (GNNs) is critical for modeling evolving … adversarial attacks on graph link prediction and proposing an unweighted graph poisoning attack …,1ZqE1fBCv2EJ,"M Li, D Zhuang, K Chen, D Samaraweera… - Available at SSRN … - papers.ssrn.com",['https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=7228090'],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=7228090,unknown,unknown
Structack: Structure-based adversarial attacks on graph neural networks,"H Hussain, T Duricic, E Lex, D Helic…",2021.0,29,"… study adversarial attacks that are uninformed, where an attacker only has access to the graph … -the-art models for tasks on graphs such as node classification [13], link prediction [31] and …",-OpnQIOIYFQJ,"H Hussain, T Duricic, E Lex, D Helic… - Proceedings of the …, 2021 - dl.acm.org",['https://dl.acm.org/doi/pdf/10.1145/3465336.3475110'],https://dl.acm.org/doi/abs/10.1145/3465336.3475110,unknown,unknown
Atex-cf: Attack-informed counterfactual explanations for graph neural networks,"Y Zhang, B Yang, A Khan…",2026.0,3,"… , ATEX-CF that unifies adversarial attack techniques with … a connection made feasible by their shared goal of flipping a node’s prediction, yet differing in perturbation strategy: adversarial …",n50W4XaiN_wJ,"Y Zhang, B Yang, A Khan… - … Conference on Learning …, 2026 - proceedings.iclr.cc",['https://proceedings.iclr.cc/paper_files/paper/2026/file/bfa008dc8caca6ebf5a047004c1c9758-Paper-Conference.pdf'],https://proceedings.iclr.cc/paper_files/paper/2026/hash/bfa008dc8caca6ebf5a047004c1c9758-Abstract-Conference.html,unknown,unknown
The Confidence Trap: Calibration Attacks for Graph Neural Networks,"C Dang, J Zhang, HT Quang, D Le, L Cheng…",2026.0,0,"… addresses miscalibration in link prediction tasks by correcting … , linking directly to the broader field of adversarial attacks on … adversarial graph node classification attacks and calibration …",CY6pOnBMdPkJ,"C Dang, J Zhang, HT Quang, D Le, L Cheng… - Proceedings of the 32nd …, 2026 - dl.acm.org",['https://dl.acm.org/doi/pdf/10.1145/3770855.3817898'],https://dl.acm.org/doi/abs/10.1145/3770855.3817898,unknown,unknown
Atex-cf: Attack-informed counterfactual explanations for graph neural networks,"Y Zhang, B Yang, A Khan…",2026.0,3,"… , ATEX-CF that unifies adversarial attack techniques with … a connection made feasible by their shared goal of flipping a node’s prediction, yet differing in perturbation strategy: adversarial …",n50W4XaiN_wJ,"Y Zhang, B Yang, A Khan… - … Conference on Learning …, 2026 - proceedings.iclr.cc",['https://proceedings.iclr.cc/paper_files/paper/2026/file/bfa008dc8caca6ebf5a047004c1c9758-Paper-Conference.pdf'],https://proceedings.iclr.cc/paper_files/paper/2026/hash/bfa008dc8caca6ebf5a047004c1c9758-Abstract-Conference.html,unknown,unknown
Are graph neural network explainers robust to graph noises?,"Y Li, S Verma, S Yang, J Zhou, F Chen",2022.0,7,"… of applications such as link prediction, community detection, … aggressive adversary, we introduce noises to graph datasets … explainers are fragile to adversarial attacks as the quality of …",awNUcUumvuAJ,"Y Li, S Verma, S Yang, J Zhou, F Chen - Australasian joint conference on …, 2022 - Springer",['https://opus.lib.uts.edu.au/bitstream/10453/165002/2/Are%20Graph%20Neural%20Network%20Explainers%20Robust%20to%20Graph%20Noises%3Fpdf'],https://link.springer.com/chapter/10.1007/978-3-031-22695-3_12,unknown,unknown
The Confidence Trap: Calibration Attacks for Graph Neural Networks,"C Dang, J Zhang, HT Quang, D Le, L Cheng…",2026.0,0,"… addresses miscalibration in link prediction tasks by correcting … , linking directly to the broader field of adversarial attacks on … adversarial graph node classification attacks and calibration …",CY6pOnBMdPkJ,"C Dang, J Zhang, HT Quang, D Le, L Cheng… - Proceedings of the 32nd …, 2026 - dl.acm.org",['https://dl.acm.org/doi/pdf/10.1145/3770855.3817898'],https://dl.acm.org/doi/abs/10.1145/3770855.3817898,unknown,unknown
Adversarial attacks on GNN-based vertical federated learning,"J Chen, X Zhang, H Zheng",2024.0,2,"… examples, which has been widely employed in attacking Graph Neural Networks (GNNs). However, in the context of GVFL, attackers do not have access to gradient information, but only …",hSrDK14ZkxkJ,"J Chen, X Zhang, H Zheng - Attacks, Defenses and Testing for Deep …, 2024 - Springer",[],https://link.springer.com/chapter/10.1007/978-981-97-0425-5_3,unknown,unknown
