title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Hiding from centrality measures: a Stackelberg game perspective,"M Waniek, J Woźnica, K Zhou…",2023,8,"… Social media users who do not wish some of their undisclosed relationship to be uncovered, might be interested in heuristic solutions designed to mislead link prediction … 5 links with …",eOfTuvueRjgJ,"M Waniek, J Woźnica, K Zhou… - … on Knowledge and …, 2023 - ieeexplore.ieee.org",['https://ieeexplore.ieee.org/iel7/69/4358933/10103670.pdf'],https://ieeexplore.ieee.org/abstract/document/10103670/,unknown,unknown
A game-theoretic taxonomy and survey of defensive deception for cybersecurity and privacy,"J Pawlick, E Colbert, Q Zhu",2019,330,… forged identities) in a social network. Cybersecurity professionals have … The routing game requires an extension to Stackelberg games to … Hiding links depends on multiple exchanges. …,O5gSJFumciIJ,"J Pawlick, E Colbert, Q Zhu - ACM Computing Surveys (CSUR), 2019 - dl.acm.org",['https://dl.acm.org/doi/pdf/10.1145/3337772'],https://dl.acm.org/doi/abs/10.1145/3337772,unknown,unknown
FROG: Fair Removal on Graph,"Z Chen, J Cheng, H Amiri, K Nag, L Lin, S Liu…",2025,9,"… To examine this effect in social networks, we evaluate two … In link prediction, we consider the disparity in link formation be… , highlighting its effectiveness in hiding deleted information. …",blgRRAZ6qHsJ,"Z Chen, J Cheng, H Amiri, K Nag, L Lin, S Liu… - Proceedings of the 34th …, 2025 - dl.acm.org",['https://dl.acm.org/doi/pdf/10.1145/3746252.3761341'],https://dl.acm.org/doi/abs/10.1145/3746252.3761341,unknown,unknown
Mining hidden links in social networks to achieve equilibrium,"H Ma, Z Lu, D Li, Y Zhu, L Fan, W Wu",2014,15,"… used in link prediction problem, which is a long-standing problem in social networks and has … Enormous efforts have been devoted to link prediction problem, please refer [13], [14], [15], […",zQ7BjoaAXCEJ,"H Ma, Z Lu, D Li, Y Zhu, L Fan, W Wu - Theoretical Computer Science, 2014 - Elsevier",[],https://www.sciencedirect.com/science/article/pii/S0304397514006136,unknown,unknown
Nash Game Modeling for Network Defense Via Node Hiding and Resource Allocation,"Z Zhu, G Zhu, Y Zhang, J Shi, X Huang…",2026,0,"… links to targeted exploitation. To address these gaps, this work … a unified gametheoretic framework that couples node hiding … Stackelberg game model for water supply networks against …",NVqHypbKMy8J,"Z Zhu, G Zhu, Y Zhang, J Shi, X Huang… - … on Network Science …, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11574608/,unknown,unknown
Applying the Stackelberg game to assess critical infrastructure vulnerability: Based on a general multi-layer network model,"H Li, L Ji, K Wang, S Liu, S Liu",2024,8,"… At present, research on a single-layer complex network, including node importance, link prediction, … deceived attackers by hiding partial links, both approaches proposing Stackelberg …",e3ZUVVCinpgJ,"H Li, L Ji, K Wang, S Liu, S Liu - Chaos: An Interdisciplinary Journal of …, 2024 - pubs.aip.org",[],https://pubs.aip.org/aip/cha/article/34/12/123127/3323962,unknown,unknown
"Wireless social networks: A survey of recent advances, applications and challenges","F Jameel, S Wyne, DNK Jayakody, G Kaddoum…",2018,30,… added links in the network. It can also help to identify the … -based link prediction to path-based link prediction. … problem by digging a large number of hidden information [249]. …,Ykxn_GRMe-AJ,"F Jameel, S Wyne, DNK Jayakody, G Kaddoum… - Ieee …, 2018 - ieeexplore.ieee.org",['https://ieeexplore.ieee.org/iel7/6287639/8274985/08480637.pdf'],https://ieeexplore.ieee.org/abstract/document/8480637/,unknown,unknown
SERS: Social-aware energy-efficient relay selection in D2D communications,"Y Li, Z Zhang, H Wang, Q Yang",2018,72,"… [23] exploited a Stackelberg game model to solve the issues of … users’ social distances in the corresponding social network, … the amount of hidden indirect trustful connections is about …",NEMp6jUvHIIJ,"Y Li, Z Zhang, H Wang, Q Yang - IEEE Transactions on …, 2018 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/8303775/,unknown,unknown
BGSG: A Bi-Level Genetic Algorithm to Stackelberg Diagnosis Game for Edge Service Performance Monitoring,"S Pan, K Sakurai, YC Liang",2026,0,"… service paths and links, we then present a network boolean … , naturally motivates a Stackelberg game formulation that enables … For a GNN with K message-passing layers and hidden …",dPIDWU8AT7wJ,"S Pan, K Sakurai, YC Liang - IEEE Transactions on Cloud …, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11595503/,unknown,unknown
Complex systems and network science: a survey,"K Yang, J Li, M Liu, T Lei, X Xu, H Wu…",2023,72,"… The hidden interdependence of power and ICT networks is … to study the formation mechanisms of social media systems and … , we discuss a particular issue known as link prediction. …",SoWYX1H7LH0J,"K Yang, J Li, M Liu, T Lei, X Xu, H Wu… - Journal of systems …, 2023 - ieeexplore.ieee.org",['https://ieeexplore.ieee.org/iel7/5971804/10185000/10185010.pdf'],https://ieeexplore.ieee.org/abstract/document/10185010/,unknown,unknown
