title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
A Hierarchical Incentive Mechanism Design for Clustered Federated Reinforcement Learning with Budget Limitation: A Contract-Stackelberg Game Framework,"M Akbari, S Ghasemi, O Talabi…",2026,0,"… , we propose a federated reinforcement learning with hierarchical incentive (FRHI) algorithm. … , and incentive compatibility (IC), each agent should prefer the contract designed for its own …",OtTONdOmXI8J,"M Akbari, S Ghasemi, O Talabi… - IEEE Internet of …, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11603357/,unknown,unknown
Incentive Aware AI Regulations: A Credal Characterisation,"A Singh, J Rodemann, R Verma, SL Chau…",2026,1,… by casting AI regulation as a mechanism design problem … We compare two agents: (1) A Non-compliant Agent: A model … that perform auditing of machine learning models via sequential …,tZ7mrnvWwngJ,"A Singh, J Rodemann, R Verma, SL Chau… - arXiv preprint arXiv …, 2026 - arxiv.org",['https://arxiv.org/pdf/2603.05175'],https://arxiv.org/abs/2603.05175,unknown,unknown
Mechanism design for alignment via human feedback,"J Manyika, MJ Wooldridge, J Gan",2025,1,"… incentive compatibility properties that desirable mechanism … synthetic agents, our model and mechanism design approach … the fields of Machine Learning and Mechanism Design. There …",v-SgfauZM48J,"J Manyika, MJ Wooldridge, J Gan - … of Human Feedback for AI …, 2025 - openreview.net",['https://openreview.net/pdf?id=0Z9VJgaebN'],https://openreview.net/forum?id=0Z9VJgaebN,unknown,unknown
Do LLM Agents Negotiate Rationally? A Mechanism-Design Framework for Verifiable Multi-Agent Interaction over A2A/MCP,"W Albayaydh, R Zhao",2026,0,"… Agentic AI Foundation, which standardizes how one agent … -critique loop, letting agents verbally reflect on past failures … form of verbal reinforcement learning without gradient updates…",f2OC1eFRJa4J,"W Albayaydh, R Zhao - arXiv preprint arXiv:2608.14613, 2026 - arxiv.org",['https://arxiv.org/pdf/2608.14613'],https://arxiv.org/abs/2608.14613,unknown,unknown
Mediated multi-agent reinforcement learning,"D Ivanov, I Zisman, K Chernyshev",2023,19,"… advances in mechanism design, … (A𝑖)𝑖∈𝑁 , (O𝑖)𝑖∈𝑁 ,𝑇, (𝑟𝑖)𝑖∈𝑁 ). Let 𝑆 be the set of all possible states 𝑠, 𝑁 be the set of agents, A𝑖 be the set of actions 𝑎𝑖 available to the agent …",YqL4soBOwY4J,"D Ivanov, I Zisman, K Chernyshev - arXiv preprint arXiv:2306.08419, 2023 - arxiv.org",['https://arxiv.org/pdf/2306.08419'],https://arxiv.org/abs/2306.08419,unknown,unknown
Deep learning for revenue-optimal auctions with budgets,"Z Feng, H Narasimhan…",2018,145,"… incentive compatibility (IC).To the best of our knowledge, this is the first paper on automated mechanism design … i as Ai (t′ i) = Et−i ∼F−i [ai (t′ i ,t−i )] and the interim payment as Pi (t′ …",aXn8Hfxq6Z0J,"Z Feng, H Narasimhan… - … on autonomous agents …, 2018 - aamas.csc.liv.ac.uk",['https://aamas.csc.liv.ac.uk/Proceedings/aamas2018/pdfs/p354.pdf'],https://aamas.csc.liv.ac.uk/Proceedings/aamas2018/pdfs/p354.pdf,unknown,unknown
Multiagent federated reinforcement learning for secure incentive mechanism in intelligent cyber–physical systems,"M Xu, J Peng, BB Gupta, J Kang…",2021,133,"… In this article, we proposed a multiagent federated reinforcement learning (MA-FRL) algorithm where agents can share their local policies in a secure-enhanced manner instead of …",yh5ZP4Rw66EJ,"M Xu, J Peng, BB Gupta, J Kang… - IEEE Internet of …, 2021 - ieeexplore.ieee.org",['https://www.researchgate.net/profile/Jialiang-Peng/publication/351674851_Multi-Agent_Federated_Reinforcement_Learning_for_Secure_Incentive_Mechanism_in_Intelligent_Cyber-Physical_Systems/links/624ac45e7931cc7ccf13dd73/Multi-Agent-Federated-Reinforcement-Learning-for-Secure-Incentive-Mechanism-in-Intelligent-Cyber-Physical-Systems.pdf'],https://ieeexplore.ieee.org/abstract/document/9434397/,unknown,unknown
Squirrl: Automating attack analysis on blockchain incentive mechanisms with deep reinforcement learning,"C Hou, M Zhou, Y Ji, P Daian, F Tramer, G Fanti…",2019,134,"… Ai}1≤i≤N,P,{Ri}1≤i≤N,Ω,{Oi}1≤i≤N), where N denotes the number of agents, S is the state space for all the agents, Ai … to exploit these incentive mechanisms to amplify an agent’s …",tyh4PDrSupUJ,"C Hou, M Zhou, Y Ji, P Daian, F Tramer, G Fanti… - arXiv preprint arXiv …, 2019 - arxiv.org",['https://arxiv.org/pdf/1912.01798'],https://arxiv.org/abs/1912.01798,unknown,unknown
Multi-Agent Systems Should be Treated as Principal-Agent Problems,"P Rauba, S Cepenas, M van der Schaar",2026,3,"… -agent machine learning; (2) We show how multi-agent systems … –agent problem and, subsequently, mechanism design, to … how we design systems to develop safe and reliable AI. …",8SfpAug70rMJ,"P Rauba, S Cepenas, M van der Schaar - arXiv preprint arXiv:2601.23211, 2026 - arxiv.org",['https://arxiv.org/pdf/2601.23211'],https://arxiv.org/abs/2601.23211,unknown,unknown
A Reinforcement Learning-Based Method for Equilibrium Strategy Solving in Multi-Agent Games,"M Chen, L Zhang, X Zhang…",2025,0,… penalties and incentivecompatible reward … mechanism design with reinforcement learning remains challenging. Most existing studies either assume complete knowledge of agent …,1l5a00vWWyIJ,"M Chen, L Zhang, X Zhang… - … Automation and Intelligent …, 2025 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11376045/,unknown,unknown
Blockchain-enhanced incentive-compatible mechanisms for multi-agent reinforcement learning systems,K Tian,2025,7,"… involving complex environments where multiple intelligent agents must make decisions … mechanism design concepts into multiagent reinforcement learning algorithms, enabling agents …",gs58umzhqxAJ,"K Tian - Scientific Reports, 2025 - nature.com",['https://www.nature.com/articles/s41598-025-20247-8.pdf'],https://www.nature.com/articles/s41598-025-20247-8,unknown,unknown
Roadmap on incentive compatibility for ai alignment and governance in sociotechnical systems,"Z Zhang, F Bai, M Wang, H Ye, C Ma…",2025,6,"… the agent as an AI system … designs rules and incentives based on desired outcomes, is significantly enhanced by the advent of automated mechanism design fused with deep learning. …",GuGJYkqMCWoJ,"Z Zhang, F Bai, M Wang, H Ye, C Ma… - … General Intelligence, 2025 - Springer",[],https://link.springer.com/chapter/10.1007/978-3-032-00800-8_33,unknown,unknown
