title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
The price of selfish behavior in bilateral network formation,"J Corbo, D Parkes",2005,227,"… and efficient networks in the bilateral network formation game, show that the set of … networks is richer than those in the unilateral game, and that all stable networks of the unilateral game …",sMY2JxSRA7EJ,"J Corbo, D Parkes - Proceedings of the twenty-fourth annual ACM …, 2005 - dl.acm.org",['https://dl.acm.org/doi/pdf/10.1145/1073814.1073833'],https://dl.acm.org/doi/abs/10.1145/1073814.1073833,unknown,unknown
Improving the price of anarchy for selfish routing via coordination mechanisms,"G Christodoulou, K Mehlhorn, E Pyrga",2014,62,"… We reconsider the well-studied Selfish Routing game with affine cost functions and ask whether increasing the cost functions can reduce the cost of a Nash flow. In other words, the …",smkFxJ7m2AAJ,"G Christodoulou, K Mehlhorn, E Pyrga - Algorithmica, 2014 - Springer",['https://arxiv.org/pdf/1202.2877'],https://link.springer.com/article/10.1007/s00453-013-9753-8,unknown,unknown
The price of anarchy,F Olsthoorn,2012,5,"… of network formation games. These are games where players build some type of network together, but they only want to maximize their own gain (or minimize their own cost). For …",4Fr03j7vyicJ,"F Olsthoorn - Diss. Master's Thesis, Mathematisch …, 2012 - palinasalanevich.wordpress.com",['https://palinasalanevich.wordpress.com/wp-content/uploads/2020/03/poa_3.pdf'],https://palinasalanevich.wordpress.com/wp-content/uploads/2020/03/poa_3.pdf,unknown,unknown
Data-driven models of selfish routing: why price of anarchy does depend on network topology,"F Benita, V Bilò, B Monnot, G Piliouras…",2020,23,"… Price of Anarchy of linear non-atomic congestion games is 4/3, whereas if we apply the standard Bureau of Public Roads (BPR) cost … on the set of models (routing games) we consider …",QBFhrqAAV-oJ,"F Benita, V Bilò, B Monnot, G Piliouras… - … on Web and Internet …, 2020 - Springer",['https://arxiv.org/pdf/2009.12871'],https://link.springer.com/chapter/10.1007/978-3-030-64946-3_18,unknown,unknown
Networks and distributed operation: the price of anarchy in non-atomic routing and network formation,L Kliemann,2010,4,"… Recall that we restrict to non-atomic models, while selfish routing is also of concern in other … -atomic) selfish routing in the context of the more general non-atomic congestion games (…",pT4IqUOpLgQJ,L Kliemann - 2010 - macau.uni-kiel.de,['https://macau.uni-kiel.de/servlets/MCRFileNodeServlet/dissertation_derivate_00003427/final-book.pdf'],https://macau.uni-kiel.de/servlets/MCRFileNodeServlet/dissertation_derivate_00003427/final-book.pdf,unknown,unknown
The price of anarchy in network creation games,"ED Demaine, MT Hajiaghayi, H Mahini…",2012,188,"… In this game we have a set of selfish node players, each creating some incident links, and the goal is to minimize α times the cost … A survey of models of network formation: Stability and …",zIdSxHm_a1gJ,"ED Demaine, MT Hajiaghayi, H Mahini… - ACM Transactions on …, 2012 - dl.acm.org",['https://dl.acm.org/doi/pdf/10.1145/2151171.2151176'],https://dl.acm.org/doi/abs/10.1145/2151171.2151176,unknown,unknown
The price of anarchy in cooperative network creation games,"ED Demaine, MT Hajiaghayi, H Mahini…",2009,53,"… Internet, we consider the case where every node (player) selfishly tries to minimize its own creation and usage cost [… A survey of models of network formation: Stability and efficiency. In …",aIfAMCowEcwJ,"ED Demaine, MT Hajiaghayi, H Mahini… - ACM SIGecom …, 2009 - dl.acm.org",['https://dl.acm.org/doi/pdf/10.1145/1980522.1980524'],https://dl.acm.org/doi/abs/10.1145/1980522.1980524,unknown,unknown
Selfish routing in the presence of network uncertainty,"C Georgiou, T Pavlides, A Philippou",2009,16,"… routing game we consider, that is, steady states in the game … Furthermore, we study a notion for the social cost of the game… notion for theprice of anarchy or coordination ratio [14] which …",4V5FvT24uZsJ,"C Georgiou, T Pavlides, A Philippou - Parallel Processing Letters, 2009 - World Scientific",['https://www.researchgate.net/profile/Chryssis-Georgiou/publication/220440022_Selfish_Routing_in_the_Presence_of_Network_Uncertainty/links/0912f50877afaa8b8e000000/Selfish-Routing-in-the-Presence-of-Network-Uncertainty.pdf'],https://www.worldscientific.com/doi/abs/10.1142/S0129626409000122,unknown,unknown
Selfish routers and the price of anarchy,"C Papadimitriou, G Valiant",2010,5,"… And this defines our new game: Strategies are pricing schemes (per unit price as a linear function of the flow routed), announced to upstream neighbors, and decisions about splitting …",SFgZvld4s_AJ,"C Papadimitriou, G Valiant - Science, 2010 - theory.stanford.edu",['http://theory.stanford.edu/~valiant/papers/SR_sub_old.pdf'],http://theory.stanford.edu/~valiant/papers/SR_sub_old.pdf,unknown,unknown
The Calculation and Simulation of the Price of Anarchy for Network Formation Games: Lichter et al.,"S Lichter, C Griffin, T Friesz",2023,0,"… network. To our knowledge, no organization has attempted to use game theoretic techniques to study the network formation or … While a game theoretic approach allows the analysis of …",mNn38VpmWsgJ,"S Lichter, C Griffin, T Friesz - Networks and Spatial Economics, 2023 - Springer",[],https://link.springer.com/article/10.1007/s11067-023-09588-x,unknown,unknown
